City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Lukulu,ZM,-14.3707,23.242,68.76,90,100,4.47,moderate rain
145,Chuy,UY,-33.6971,-53.4616,78.46,66,3,9.1,clear sky
146,Takhatgarh,IN,25.3333,73.0,46.87,53,0,3.85,clear sky
147,Aluksne,LV,57.4167,27.05,24.96,99,100,7.87,light snow
148,Geraldton,AU,-28.7667,114.6,82.4,18,0,20.71,clear sky
149,Egvekinot,RU,66.3167,-179.1667,-21.28,84,2,13.2,clear sky
150,Praia,CV,14.9215,-23.5087,75.2,57,0,17.27,clear sky
151,Ponta Delgada,PT,37.7333,-25.6667,60.8,82,20,6.91,few clouds
152,Esmeraldas,BR,-19.7625,-44.3139,86.0,48,20,10.36,few clouds
153,Ratnagiri,IN,16.9833,73.3,74.14,53,100,2.98,overcast clouds
154,Pipar,IN,26.3856,73.5378,54.97,34,0,8.88,clear sky
155,Paamiut,GL,61.994,-49.6678,34.27,81,83,9.44,broken clouds
156,Port Elizabeth,ZA,-33.918,25.5701,64.4,88,40,5.75,scattered clouds
157,Richards Bay,ZA,-28.783,32.0377,72.81,86,90,1.25,overcast clouds
158,La Ronge,CA,55.1001,-105.2842,8.6,78,100,5.75,overcast clouds
159,Annau,TM,37.8876,58.516,48.2,57,75,2.3,broken clouds
160,Iqaluit,CA,63.7506,-68.5145,-13.0,70,1,33.38,snow
161,Syracuse,IT,37.0881,15.2792,61.0,77,0,20.71,clear sky
162,Hamilton,US,39.1834,-84.5333,33.01,55,90,1.72,overcast clouds
163,Berbera,SO,10.4396,45.0143,74.21,77,2,5.37,clear sky
164,Hammerfest,NO,70.6634,23.6821,15.8,73,75,10.36,broken clouds
165,Lompoc,US,34.6391,-120.4579,51.8,82,75,3.44,broken clouds
166,Qaqortoq,GL,60.7167,-46.0333,44.6,29,75,26.46,broken clouds
167,Huarmey,PE,-10.0681,-78.1522,76.33,64,77,11.25,broken clouds
168,Chokurdakh,RU,70.6333,147.9167,-23.94,86,100,7.38,overcast clouds
169,Byron Bay,AU,-28.65,153.6167,69.8,94,75,3.44,broken clouds
170,Pevek,RU,69.7008,170.3133,-28.82,85,5,2.82,clear sky
171,Carauari,BR,-4.8828,-66.8958,87.66,60,85,0.56,light rain
172,Kruisfontein,ZA,-34.0033,24.7314,64.0,78,1,1.01,clear sky
173,Salalah,OM,17.0151,54.0924,73.4,64,75,8.05,broken clouds
174,Longyearbyen,SJ,78.2186,15.6401,-9.92,84,0,9.15,clear sky
175,Santa Marta,CO,11.2408,-74.199,88.0,66,20,6.91,few clouds
176,Baykit,RU,61.67,96.37,-40.49,75,81,4.63,broken clouds
177,Hasaki,JP,35.7333,140.8333,33.8,47,20,12.66,few clouds
178,Mahibadhoo,MV,3.7833,72.9667,80.69,78,10,16.26,clear sky
179,Aripuana,BR,-9.1667,-60.6333,82.44,84,98,1.68,light rain
180,Ossora,RU,59.2353,163.0719,-4.54,86,39,7.45,scattered clouds
181,Hastings,GB,50.8552,0.5729,48.0,76,89,3.0,overcast clouds
182,Kutum,SD,14.2,24.6667,59.22,31,10,12.91,clear sky
183,Lalsot,IN,26.5667,76.3333,50.0,50,0,2.93,haze
184,Poncitlan,MX,20.3667,-102.9167,75.2,31,1,6.91,clear sky
185,Okhotsk,RU,59.3833,143.3,-13.32,83,0,6.82,clear sky
186,Severo-Kurilsk,RU,50.6789,156.125,20.3,92,99,16.26,overcast clouds
187,Vostok,RU,46.4856,135.8833,-17.27,89,100,2.86,overcast clouds
188,Fairbanks,US,64.8378,-147.7164,1.99,77,90,2.24,overcast clouds
189,Caluquembe,AO,-13.7833,14.6833,60.37,72,58,2.1,broken clouds
190,Hithadhoo,MV,-0.6,73.0833,81.19,77,51,8.68,broken clouds
191,Abonnema,NG,4.7084,6.7931,84.2,79,20,9.22,few clouds
192,Russell,US,32.3502,-85.1999,57.99,26,1,3.44,clear sky
193,Ust-Omchug,RU,61.15,149.6333,-27.65,80,92,5.23,overcast clouds
194,Khorixas,NA,-20.3667,14.9667,72.01,42,28,10.6,scattered clouds
195,Marsh Harbour,BS,26.5412,-77.0636,66.15,71,81,16.6,broken clouds
196,Dikson,RU,73.5069,80.5464,-30.69,85,100,5.79,overcast clouds
197,Lively,CA,46.4334,-81.1498,12.99,66,90,10.36,overcast clouds
198,Mstera,RU,56.3789,41.92,26.67,98,100,11.21,overcast clouds
199,Windsor,CA,42.3001,-83.0165,26.6,50,1,8.05,clear sky
200,Springbok,ZA,-29.6643,17.8865,64.2,41,0,4.61,clear sky
201,Marsabit,KE,2.3284,37.9899,70.86,58,4,9.89,clear sky
202,Newburn,GB,54.9876,-1.7442,37.99,87,75,2.3,broken clouds
203,Gander,CA,48.9682,-54.5906,23.0,93,90,14.97,light snow
204,Micheweni,TZ,-4.9667,39.8333,80.78,80,0,15.19,clear sky
205,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,82,20,6.91,few clouds
206,Parangan,PH,5.0839,119.9383,80.42,81,49,13.11,light rain
207,Takoradi,GH,4.8845,-1.7554,79.93,82,100,6.33,light rain
208,Khuzhir,RU,53.1939,107.3397,-6.5,89,100,4.12,light snow
209,Haines Junction,CA,60.7522,-137.5108,-11.2,77,100,1.66,overcast clouds
210,Sovetskaya Gavan,RU,48.9723,140.2878,6.28,94,100,10.09,light snow
211,Safaga,EG,26.7292,33.9365,60.8,39,0,10.36,clear sky
212,Nianzishan,CN,47.5167,122.8833,-12.84,89,99,5.99,light snow
213,Bowen,AU,-20.0167,148.2333,73.4,88,90,9.22,overcast clouds
214,Hofn,IS,64.2539,-15.2082,23.0,74,0,3.44,clear sky
215,Zelenoborskiy,RU,66.845,32.3622,10.0,95,100,6.91,light snow
216,Labuhan,ID,-6.8844,112.2051,77.58,86,100,15.37,light rain
217,Havoysund,NO,70.9963,24.6622,21.2,79,75,12.66,light snow
218,Sovetskiy,RU,61.3614,63.5842,-16.02,87,97,6.89,overcast clouds
219,Manjacaze,MZ,-24.7117,33.8828,74.53,95,0,2.91,clear sky
220,Kuloy,RU,61.0305,42.4925,19.09,97,98,7.85,overcast clouds
221,Yatou,CN,37.15,122.3833,33.62,88,0,10.02,clear sky
222,Ondjiva,AO,-17.0667,15.7333,70.72,75,77,4.65,broken clouds
223,San Vicente,AR,-26.6167,-54.1333,76.37,86,39,5.73,scattered clouds
224,Cristalina,BR,-16.7686,-47.6136,76.71,62,100,3.33,overcast clouds
225,Port Hedland,AU,-20.3167,118.5667,80.6,89,15,5.75,few clouds
226,Choya,RU,52.0108,86.5467,25.61,91,100,3.8,overcast clouds
227,Qaanaaq,GL,77.484,-69.3632,-15.14,60,0,4.25,clear sky
228,Lorengau,PG,-2.0226,147.2712,82.24,78,96,9.51,overcast clouds
229,Hirara,JP,24.8,125.2833,59.99,68,92,17.6,overcast clouds
230,Foam Lake,CA,51.65,-103.5343,15.8,79,100,11.5,overcast clouds
231,Sol-Iletsk,RU,51.1631,54.9918,26.91,97,100,13.98,overcast clouds
