City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
414,Gurupa,BR,81.68,overcast clouds,-1.405,-51.64,Residencial DWD
418,Jardim,BR,81.07,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
421,Pio Xii,BR,82.26,overcast clouds,-3.8325,-45.1525,
424,Paciran,ID,77.92,light rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
425,Tual,ID,82.87,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
428,Inhambane,MZ,80.6,few clouds,-23.865,35.3833,Oceano
430,Denpasar,ID,78.8,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
435,Prado,BR,80.19,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
437,Port Blair,IN,79.02,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
450,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
454,Petatlan,MX,87.8,scattered clouds,17.5167,-101.2667,Hotel California Petatlán
463,Buala,SB,80.67,light rain,-8.145,159.5921,Maringe Lagoon Lodge
465,Oistins,BB,82.4,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
470,Lazaro Cardenas,MX,83.28,overcast clouds,17.9583,-102.2,Collection O Hotel Quinta Antigua
473,Bodden Town,KY,79.0,scattered clouds,19.2833,-81.25,Will T Place
476,Trairi,BR,82.31,overcast clouds,-3.2778,-39.2689,janelas do mar
478,Saltpond,GH,79.83,light rain,5.2091,-1.0606,Mfantseman Beach Resort
482,Itarema,BR,82.38,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
484,Rocha,UY,81.19,scattered clouds,-34.4833,-54.3333,Beleza Pura B&B
487,Namatanai,PG,81.34,light rain,-3.6667,152.4333,Namatanai Hotel
488,Karratha,AU,81.57,light rain,-20.7377,116.8463,ibis Styles Karratha
489,Gizo,SB,82.44,moderate rain,-8.103,156.8419,Imagination Island
491,Vao,NC,75.79,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
492,Sechura,PE,82.69,clear sky,-5.5569,-80.8222,Hospedaje Costa Bella
501,Odienne,CI,79.47,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
503,Latung,PH,81.32,overcast clouds,5.5,120.8833,
508,Oliveira Dos Brejinhos,BR,86.67,broken clouds,-12.3169,-42.8961,Hotel Paraiso
512,Artigas,UY,89.02,light rain,-30.4,-56.4667,Hotel Casino San Eugenio del Cuareim
517,Acarau,BR,82.89,moderate rain,-2.8856,-40.12,castelo pizzaria
522,Morant Bay,JM,87.8,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
523,Kavaratti,IN,80.37,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
525,Manaure,CO,85.98,scattered clouds,11.7751,-72.4445,Hotel Palaaima
526,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,Pirineos
530,Poso,ID,75.99,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
538,Natal,BR,86.0,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
539,Kalianget,ID,79.74,overcast clouds,-7.05,113.9333,Pesanggrahan Garam
541,Hobyo,SO,76.24,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
543,Touros,BR,82.4,few clouds,-5.1989,-35.4608,INN NEW HORIZON
547,Warri,NG,81.77,scattered clouds,5.5167,5.75,BON Hotel Delta
548,Ewa Beach,US,75.2,overcast clouds,21.3156,-158.0072,Base Lodging
553,Hualmay,PE,75.87,clear sky,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
554,Ixtapa,MX,80.6,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
561,Sola,VU,80.82,overcast clouds,-13.8833,167.55,Leumerus Bungalows
562,Cap Malheureux,MU,81.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
564,Zemio,CF,75.87,overcast clouds,5.0314,25.1361,OCHA Office
566,Makakilo City,US,75.2,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
567,Kununurra,AU,78.8,scattered clouds,-15.7667,128.7333,Hotel Kununurra
571,Saint-Pierre,RE,78.8,clear sky,-21.3393,55.4781,Lindsey Hôtel
576,Caravelas,BR,81.3,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
577,San Policarpo,PH,77.99,overcast clouds,12.1791,125.5072,JM Lodge
585,Kupang,ID,79.48,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
586,Maldonado,UY,80.6,broken clouds,-34.6667,-54.9167,La Cimarrona
591,Nkan,GA,82.4,light rain,0.3833,9.7833,Hôtel Santa Barbara
592,Pisco,PE,78.8,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
594,Buenos Aires,AR,84.0,scattered clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
600,San Pedro,PH,75.99,scattered clouds,14.35,121.0167,OYO 412 Viewfort Venue
609,Finschhafen,PG,82.17,overcast clouds,-6.6024,147.8681,Cossam Guest House
610,Jacqueville,CI,80.6,few clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
611,Cabo Rojo,PR,82.0,few clouds,18.0866,-67.1457,Hotel Perichi's
615,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
618,Mana,GF,78.3,overcast clouds,5.6592,-53.7767,LE SAMANA
622,Teahupoo,PF,86.0,moderate rain,-17.8333,-149.2667,Vanira Lodge
626,Siavonga,ZM,75.31,overcast clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
631,San Andres,CO,86.0,few clouds,12.5847,-81.7006,Hotel Arena Blanca
645,Alofi,NU,77.0,heavy intensity rain,-19.0595,-169.9187,Taloa Heights
649,Luwuk,ID,77.09,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
652,Mogadishu,SO,76.53,clear sky,2.0371,45.3438,Hotel Juba
656,Nioro,GM,83.98,few clouds,13.35,-15.75,
657,Coahuayana,MX,87.8,scattered clouds,18.7333,-103.6833,Hotel Los Arcos
658,Oranjestad,AW,80.6,scattered clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
661,Mabaruma,GY,79.83,overcast clouds,8.2,-59.7833,
665,Puerto Narino,CO,75.2,moderate rain,-3.7703,-70.3831,Eware Refugio Amazonico
668,Mahanoro,MG,78.28,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
669,Nanakuli,US,75.2,overcast clouds,21.3906,-158.1547,Camp Pālehua
671,Nazca,PE,89.24,clear sky,-14.8333,-74.95,Casa Andina Standard Nasca
674,Grand Baie,MU,81.0,light rain,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
682,Mayumba,GA,79.16,overcast clouds,-3.432,10.6554,LIKWALE LODGE
684,Ambulu,ID,75.09,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
